New Jersey,2005,741478,844005,5639515,12,54,86,16.336,63.745,15.179
New Mexico,2005,173970,226724,1183171,3,16,17,18.988,72.145,14.729
New York,2005,1587906,2106543,12383739,24,155,273,14.812,73.407,22.082
North Carolina,2005,723206,900033,5515308,10,63,94,14.479,69.981,17.021
North Dakota,2005,50524,84579,394935,1,4,3,15.551,45.219,8.852
Ohio,2005,977997,1249533,7288639,15,83,129,15.032,66.26,17.658
Oklahoma,2005,295821,415188,2187319,5,23,28,15.513,55.801,12.645
Oregon,2005,297574,395092,2383671,6,23,28,18.931,59.364,11.863
Pennsylvania,2005,1029986,1325571,8088579,15,89,128,14.437,67.329,15.764
Rhode Island,2005,87162,125832,687555,2,12,18,19.067,96.296,26.525
South Carolina,2005,361860,461761,2698757,4,27,46,12.423,59.093,17.156
South Dakota,2005,66214,92864,477378,1,5,5,16.412,55.859,10.253
Tennessee,2005,486247,634563,3851545,7,49,80,15.095,77.397,20.74
Texas,2005,2083455,2674678,13620520,43,187,222,20.579,69.998,16.284
Utah,2005,233270,364626,1353274,4,21,21,18.8,57.911,15.222
Vermont,2005,51757,70705,414171,1,7,8,19.586,96.033,18.865
Virginia,2005,621149,782661,4767472,9,60,79,15.146,76.06,16.561
Washington,2005,532240,686791,4037966,10,60,61,17.89,86.904,15.013
West Virginia,2005,136941,188109,1219878,3,18,20,20.495,97.234,16.278
Wisconsin,2005,469879,631978,3530390,8,37,39,16.476,58.198,11.045
Wyoming,2005,42307,60899,324179,1,5,4,17.891,75.162,13.74
Alabama,2006,386639,500168,2919719,5,25,45,13.287,50.542,15.29
Alaska,2006,64383,74321,395433,1,6,8,14.503,78.515,20.749
Arizona,2006,531706,667551,3852843,13,56,90,24.444,84.592,23.399
Arkansas,2006,234358,298001,1778618,3,20,27,14.862,67.928,15.383
California,2006,3251070,4216574,22275311,56,281,389,17.216,66.745,17.466
Colorado,2006,387286,516885,3028921,8,45,70,20.49,87.379,23.063
Connecticut,2006,296415,352612,2273192,5,26,39,17.453,75.013,17.055
Delaware,2006,70333,91979,547985,1,6,11,13.246,63.139,20.082
District of Columbia,2006,37965,82030,377906,0,5,20,7.523,57.231,52.488
Florida,2006,1389340,1778827,12041147,23,124,202,16.519,69.974,16.792
Georgia,2006,822659,1001876,5761385,12,58,124,14.757,57.588,21.588
Hawaii,2006,99465,126140,819708,1,7,12,14.106,56.747,14.489
Idaho,2006,132866,165315,893079,2,10,9,14.192,59.6,10.387
Illinois,2006,1094265,1433731,8011425,16,90,145,15.013,62.606,18.097
Indiana,2006,539431,689525,3967335,8,44,61,14.162,64.437,15.35
Iowa,2006,248086,343994,1882850,4,20,21,14.419,56.959,11.175
