South Carolina,2004,358954,464027,2642693,19,15,3,60.715,62.276,1.618,23,67,99,64.288,144.414,37.36,47,112,168,131.214,240.738,63.592
South Dakota,2004,66529,94332,472172,4,3,1,58.986,64.959,1.754,5,13,14,67.938,133.98,30.561,9,22,24,134.877,228.55,51.718
Tennessee,2004,477163,642419,3799709,25,18,4,60.162,59.734,1.897,29,96,164,59.808,149.332,43.099,65,166,274,135.782,258.69,72.213
Texas,2004,2052845,2628020,13267576,88,75,16,49.183,51.063,1.673,118,334,381,57.64,127.259,28.75,250,585,700,121.975,222.714,52.771
Utah,2004,226903,358089,1304188,10,10,2,42.905,43.279,2.418,13,35,42,56.855,99.034,32.414,25,70,67,110.602,196.437,51.31
Vermont,2004,52660,70932,411991,3,2,0,73.243,95.701,2.318,6,19,24,105.406,266.726,58.381,9,29,40,172.443,405.531,95.99
Virginia,2004,622210,774068,4680347,29,25,5,50.9,66.451,1.749,33,112,152,53.064,144.694,32.462,76,218,260,122.08,281.911,55.621
Washington,2004,527538,692546,3955836,25,22,4,53.018,68.825,2.104,36,125,202,68.282,181.058,51.166,69,207,314,131.582,298.666,79.429
West Virginia,2004,136919,192780,1215454,6,6,1,54.913,70.138,1.644,10,34,47,69.97,174.32,38.781,19,58,73,136.441,299.102,59.798
Wisconsin,2004,472397,638835,3502106,27,23,4,67.99,77.176,2.137,38,105,135,81.269,164.515,38.456,75,191,238,158.504,299.139,67.956
Wyoming,2004,42257,61866,321211,3,2,0,69.326,72.072,2.133,3,9,12,68.798,153.272,36.485,6,16,22,150.35,263.127,67.515
Alabama,2005,384026,504331,2899055,17,15,3,48.558,49.161,1.364,24,62,94,61.922,122.741,32.476,42,108,152,110.363,214.238,52.344
Alaska,2005,66349,74227,382565,3,2,0,58.982,72.673,2.712,5,15,27,81.717,195.438,70.095,10,25,40,155.946,333.756,104.967
Arizona,2005,522702,660913,3704157,27,18,4,65.501,54.769,1.768,37,94,123,70.266,142.046,33.3,74,159,206,141.61,241.088,55.599
Arkansas,2005,233328,306500,1755313,12,9,2,63.36,55.974,1.465,18,45,69,76.082,145.323,39.432,33,80,119,142.412,260.099,67.566
California,2005,3293484,4085207,22046720,155,114,20,54.006,52.719,1.595,217,695,1054,65.814,170.162,47.801,436,1161,1736,132.474,284.125,78.748
Colorado,2005,389561,513260,2938592,22,14,3,69.351,69.468,2.218,30,109,160,76.013,211.807,54.475,62,184,247,159.648,358.6,83.887
Connecticut,2005,299315,349035,2272942,17,12,2,68.15,84.005,1.917,25,81,116,83.256,232.076,50.964,49,131,211,164.326,374.523,92.66
Delaware,2005,69102,92344,541851,4,3,1,62.834,76.15,1.783,5,17,20,71.832,179.073,36.99,9,28,36,133.126,301.41,66.993
District of Columbia,2005,36509,71305,369695,2,3,0,61.151,87.446,2.825,2,14,24,67.504,196.141,64.096,5,26,41,133.269,370.049,110.363
Florida,2005,1405376,1765323,11819668,71,54,9,57.347,58.614,1.331,98,315,437,70.002,178.459,36.97,192,521,743,136.838,295.189,62.823
Georgia,2005,800536,1007170,5604242,34,32,6,46.204,58.967,1.771,48,151,234,59.989,149.745,41.792,94,261,367,117.366,259.455,65.559
Hawaii,2005,101214,124633,806534,4,4,1,58.992,72.015,2.442,7,20,31,69.585,158.113,38.415,14,36,56,142.366,285.892,69.99
Idaho,2005,130072,171005,869082,6,5,1,50.23,53.782,1.876,8,24,30,59.884,139.073,35.053,16,43,48,120.31,253.777,55.019
Illinois,2005,1100792,1422772,7966227,53,45,8,55.03,61.655,1.726,74,219,271,67.059,153.999,34.019,138,377,471,125.157,264.76,59.073
Indiana,2005,546441,702749,3913195,28,20,4,56.371,59.621,1.76,34,109,141,62.534,155.54,35.959,65,186,229,119.652,265.169,58.484
Iowa,2005,244036,348756,1887732,12,12,2,52.683,56.914,1.521,16,45,55,63.716,129.378,28.969,28,75,94,113.165,214.215,49.902
Kansas,2005,234307,324975,1685072,11,11,2,51.83,64.117,1.863,15,48,67,66.132,148.447,39.833,32,92,120,134.886,282.383,71.048
Kentucky,2005,339347,443407,2675718,16,14,2,53.86,61.53,1.493,22,62,88,65.046,140.208,32.758,41,109,153,120.954,245.085,57.075
Louisiana,2005,385359,523857,2663520,19,15,3,54.551,55.098,1.573,22,77,99,56.73,146.68,37.226,46,127,170,118.513,241.487,63.703
Maine,2005,107149,133984,891125,6,5,1,75.514,100.639,1.703,12,37,55,108.556,277.002,61.564,19,54,80,174.338,400.044,89.554
Maryland,2005,488407,582701,3545971,23,19,3,53.635,67.461,1.805,27,78,115,55.088,133.087,32.514,60,162,202,123.013,278.298,57.055
Massachusetts,2005,510948,693784,4187314,27,24,5,63.343,79.641,2.145,45,168,220,88.583,242.636,52.591,83,264,356,162.231,381.003,85.125
Michigan,2005,901407,1105696,6379828,46,38,7,58.249,76.197,2.016,65,188,286,72.662,170.458,44.78,124,359,516,137.849,325.072,80.847
Minnesota,2005,437254,593399,3249410,22,18,3,57.106,64.751,1.999,33,102,172,74.983,171.435,53.038,58,167,252,133.114,281.725,77.668
Mississippi,2005,257913,339363,1758458,11,10,2,46.098,44.533,1.427,14,43,62,54.77,127.719,35.348,27,72,99,106.468,212.538,56.049
Missouri,2005,490572,648988,3671275,22,20,4,50.339,61.452,1.663,32,94,135,64.215,144.614,36.854,64,163,255,129.538,251.452,69.475
Montana,2005,77917,107581,605606,4,4,1,63.931,84.688,1.918,8,24,42,104.707,222.197,69.89,13,40,59,170.136,370.847,97.742
Nebraska,2005,148761,210037,1083695,7,7,1,45.978,61.799,1.589,8,31,36,56.205,148.031,33.056,17,53,65,111.158,251.923,59.718
Nevada,2005,206623,246089,1551580,11,6,2,62.83,49.775,2.065,15,41,80,74.912,164.848,51.306,30,68,117,143.606,277.131,75.329
New Hampshire,2005,113655,136775,860562,6,5,1,57.72,101.465,2.09,10,34,42,84.034,248.431,49.345,16,52,69,142.264,377.89,80.323
New Jersey,2005,741478,844005,5639515,38,26,6,57.193,59.605,1.523,47,134,195,63.321,159.104,34.579,99,243,352,132.868,288.281,62.417
New Mexico,2005,173970,226724,1183171,9,6,1,72.705,70.332,1.48,13,38,46,76.983,169.075,39.085,27,63,75,157.494,278.229,63.061
New York,2005,1587906,2106543,12383739,79,64,12,56.922,63.176,1.659,123,426,595,77.35,202.385,48.078,232,673,1048,145.806,319.449,84.601
