Pennsylvania,2004,1035623,1322980,8059411,135,572,2095,130.823,432.545,259.891,160,646,2509,154.461,488.356,311.264
Rhode Island,2004,88122,125374,691117,11,50,164,120.198,396.3,237.5,13,56,192,146.075,450.151,277.199
South Carolina,2004,358954,464027,2642693,43,195,756,119.55,419.559,286.224,54,221,867,151.295,476.915,328.251
South Dakota,2004,66529,94332,472172,10,41,115,155.233,434.324,243.283,13,47,144,191.031,497.978,304.797
Tennessee,2004,477163,642419,3799709,64,282,1112,133.969,438.795,292.662,80,317,1349,168.068,494.018,354.959
Texas,2004,2052845,2628020,13267576,203,972,3333,98.864,369.991,251.215,243,1108,3992,118.151,421.485,300.891
Utah,2004,226903,358089,1304188,20,100,242,86.791,278.243,185.479,24,106,273,103.961,295.536,209.27
Vermont,2004,52660,70932,411991,7,32,96,137.596,458.067,233.502,9,37,115,164.353,526.462,278.244
Virginia,2004,622210,774068,4680347,69,323,1114,110.791,417.411,237.983,81,372,1329,130.174,480.351,283.989
Washington,2004,527538,692546,3955836,49,269,926,92.024,388.381,234.092,61,300,1057,116.57,432.936,267.181
West Virginia,2004,136919,192780,1215454,22,92,386,160.287,476.477,317.92,27,108,498,194.868,559.47,409.574
Wisconsin,2004,472397,638835,3502106,61,281,910,129.454,439.502,259.859,78,313,1083,164.462,489.458,309.31
Wyoming,2004,42257,61866,321211,6,25,78,139.762,397.181,242.987,7,30,100,175.905,486.302,310.362
Alabama,2005,384026,504331,2899055,45,196,803,117.626,387.718,276.982,58,232,983,151.477,460.172,339.205
Alaska,2005,66349,74227,382565,7,30,90,103.553,398.78,235.005,10,35,111,149.735,474.699,291.206
Arizona,2005,522702,660913,3704157,58,236,863,110.739,357.586,232.866,70,277,1026,133.603,419.493,277.115
Arkansas,2005,233328,306500,1755313,32,137,505,137.79,447.787,287.808,38,156,629,163.672,508.818,358.166
California,2005,3293484,4085207,22046720,258,1251,4341,78.326,306.295,196.887,313,1402,4944,94.911,343.297,224.262
Colorado,2005,389561,513260,2938592,42,206,606,108.224,400.995,206.175,55,236,730,142.275,459.398,248.419
Connecticut,2005,299315,349035,2272942,31,146,452,102.77,417.469,198.696,37,164,541,124.627,471.02,237.958
Delaware,2005,69102,92344,541851,7,34,130,106.028,371.204,240.777,9,39,151,125.187,420.899,279.34
District of Columbia,2005,36509,71305,369695,3,26,94,74.208,364.161,253.948,3,28,106,93.525,393.764,286.784
Florida,2005,1405376,1765323,11819668,135,622,2801,96.332,352.364,236.984,162,728,3324,115.192,412.222,281.261
Georgia,2005,800536,1007170,5604242,78,350,1298,97.465,347.289,231.678,97,409,1663,121.162,405.83,296.738
Hawaii,2005,101214,124633,806534,7,42,154,72.187,336.498,191.16,9,46,174,91.451,365.932,215.681
Idaho,2005,130072,171005,869082,13,62,197,100.822,365.046,227.195,16,72,235,124.741,419.299,270.576
Illinois,2005,1100792,1422772,7966227,116,573,2017,105.441,403.049,253.231,141,646,2362,127.984,453.988,296.557
Indiana,2005,546441,702749,3913195,65,302,1091,118.415,429.829,278.9,78,342,1300,142.006,487.001,332.198
Iowa,2005,244036,348756,1887732,31,147,453,127.303,421.734,239.95,39,175,570,158.147,500.509,301.937
Kansas,2005,234307,324975,1685072,29,135,435,124.604,415.367,258.336,37,158,542,159.565,486.541,321.788
Kentucky,2005,339347,443407,2675718,53,219,804,155.259,492.8,300.485,66,247,1012,194.785,558.006,378.294
Louisiana,2005,385359,523857,2663520,41,203,724,105.363,386.883,271.978,50,230,898,129.962,439.515,337.145
Maine,2005,107149,133984,891125,14,60,231,128.992,450.21,259.594,17,69,267,160.925,512.287,299.347
Maryland,2005,488407,582701,3545971,47,205,764,95.266,352.456,215.375,54,230,897,110.372,395.232,252.953
