State,Year,Population.12-17
Hawaii,2013,96971
Idaho,2013,142945
Illinois,2013,1033794
Indiana,2013,541174
Iowa,2013,242393
Kansas,2013,237609
Kentucky,2013,340101
Louisiana,2013,367862
Maine,2013,93811
Maryland,2013,455684
Massachusetts,2013,488765
Michigan,2013,797647
Minnesota,2013,425247
Mississippi,2013,245600
Missouri,2013,470976
Montana,2013,74121
Nebraska,2013,149327
Nevada,2013,221704
New Hampshire,2013,99717
New Jersey,2013,701644
New Mexico,2013,166639
New York,2013,1440280
North Carolina,2013,771607
North Dakota,2013,50733
Ohio,2013,922292
Oklahoma,2013,309426
Oregon,2013,291323
Pennsylvania,2013,941238
Rhode Island,2013,75717
South Carolina,2013,362044
South Dakota,2013,65627
Tennessee,2013,506479
Texas,2013,2327085
Utah,2013,282277
Vermont,2013,44408
Virginia,2013,622264
Washington,2013,530795
West Virginia,2013,129873
Wisconsin,2013,448046
Wyoming,2013,44128
Alabama,2014,380801
Alaska,2014,59194
Arizona,2014,546470
Arkansas,2014,236359
California,2014,3054845
Colorado,2014,415441
Connecticut,2014,283053
Delaware,2014,68597
District of Columbia,2014,30707
Florida,2014,1399768
Georgia,2014,846476
Hawaii,2014,96910
Idaho,2014,144818
Illinois,2014,1023238
Indiana,2014,540670
Iowa,2014,242812
Kansas,2014,237562
Kentucky,2014,339643
Louisiana,2014,367670
Maine,2014,92645
Maryland,2014,454564
Massachusetts,2014,488093
Michigan,2014,788717
Minnesota,2014,425999
Mississippi,2014,244465
Missouri,2014,470263
Montana,2014,74378
Nebraska,2014,151059
Nevada,2014,222788
New Hampshire,2014,98378
New Jersey,2014,697509
New Mexico,2014,165438
New York,2014,1427531
North Carolina,2014,777550
North Dakota,2014,51690
Ohio,2014,917272
Oklahoma,2014,312268
Oregon,2014,291273
Pennsylvania,2014,934275
Rhode Island,2014,75156
South Carolina,2014,365128
South Dakota,2014,65789
Tennessee,2014,507891
Texas,2014,2361420
Utah,2014,288637
Vermont,2014,43770
Virginia,2014,624487
Washington,2014,530669
West Virginia,2014,129363
Wisconsin,2014,446438
Wyoming,2014,44151
Alabama,2015,378330
Alaska,2015,59083
Arizona,2015,548504
Arkansas,2015,236654
California,2015,3039214
Colorado,2015,421468
Connecticut,2015,279545
Delaware,2015,69164
District of Columbia,2015,30813
Florida,2015,1405801
Georgia,2015,855245
Hawaii,2015,96573
Idaho,2015,146791
Illinois,2015,1015317
Indiana,2015,539568
Iowa,2015,243253
Kansas,2015,237647
Kentucky,2015,339903
Louisiana,2015,367464
Maine,2015,91487
Maryland,2015,453674
Massachusetts,2015,487249
Michigan,2015,779507
Minnesota,2015,427687
Mississippi,2015,244221
Missouri,2015,469494
Montana,2015,74427
Nebraska,2015,152704
Nevada,2015,224147
New Hampshire,2015,96774
New Jersey,2015,694182
New Mexico,2015,165412
New York,2015,1416226
North Carolina,2015,783879
North Dakota,2015,52111
Ohio,2015,909989
Oklahoma,2015,314698
Oregon,2015,291584
Pennsylvania,2015,928154
Rhode Island,2015,74286
South Carolina,2015,367649
South Dakota,2015,66117
Tennessee,2015,508573
Texas,2015,2395358
Utah,2015,294912
Vermont,2015,42936
Virginia,2015,626833
Washington,2015,532127
West Virginia,2015,128587
Wisconsin,2015,445564
Wyoming,2015,44091
Alabama,2016,375632
Alaska,2016,58821
Arizona,2016,551089
Arkansas,2016,236782
California,2016,3033914
Colorado,2016,425994
Connecticut,2016,276122
Delaware,2016,69477
District of Columbia,2016,31164
Florida,2016,1415667
Georgia,2016,862534
Hawaii,2016,95796
Idaho,2016,149626
Illinois,2016,1006653
Indiana,2016,538403
Iowa,2016,244029
Kansas,2016,237420
Kentucky,2016,340232
Louisiana,2016,365494
Maine,2016,90519
Maryland,2016,453829
Massachusetts,2016,484894
Michigan,2016,770605
Minnesota,2016,431266
Mississippi,2016,243347
Missouri,2016,467819
Montana,2016,74636
Nebraska,2016,154318
Nevada,2016,226449
New Hampshire,2016,95517
New Jersey,2016,691607
New Mexico,2016,165925
New York,2016,1403019
North Carolina,2016,789194
North Dakota,2016,52376
Ohio,2016,902125
Oklahoma,2016,316132
Oregon,2016,292642
Pennsylvania,2016,922209
Rhode Island,2016,73649
South Carolina,2016,370519
South Dakota,2016,67066
Tennessee,2016,509963
Texas,2016,2431437
Utah,2016,300510
Vermont,2016,42109
Virginia,2016,628617
Washington,2016,536155
West Virginia,2016,127201
Wisconsin,2016,444929
Wyoming,2016,44231
Alabama,2017,373065
